Simulation,Status,Convergence_Time(s),File_Path
sim_0,Converged,11.125000000002105,/app/reassmble/fix-linear/records/fixed_linear/r_4/sim_0/all_agents_trajectories.json
sim_1,Converged,12.075000000003266,/app/reassmble/fix-linear/records/fixed_linear/r_4/sim_1/all_agents_trajectories.json
sim_2,Converged,12.325000000003572,/app/reassmble/fix-linear/records/fixed_linear/r_4/sim_2/all_agents_trajectories.json
sim_3,Converged,12.475000000003755,/app/reassmble/fix-linear/records/fixed_linear/r_4/sim_3/all_agents_trajectories.json
sim_4,Converged,12.600000000003908,/app/reassmble/fix-linear/records/fixed_linear/r_4/sim_4/all_agents_trajectories.json
sim_5,Converged,12.675000000004,/app/reassmble/fix-linear/records/fixed_linear/r_4/sim_5/all_agents_trajectories.json
sim_6,Converged,12.750000000004091,/app/reassmble/fix-linear/records/fixed_linear/r_4/sim_6/all_agents_trajectories.json
sim_7,Converged,12.800000000004152,/app/reassmble/fix-linear/records/fixed_linear/r_4/sim_7/all_agents_trajectories.json
sim_8,Converged,12.850000000004213,/app/reassmble/fix-linear/records/fixed_linear/r_4/sim_8/all_agents_trajectories.json
sim_9,Converged,12.900000000004274,/app/reassmble/fix-linear/records/fixed_linear/r_4/sim_9/all_agents_trajectories.json
